<io.bootique.terminal.SttyTerminal: java.lang.Integer parseColumns(java.io.BufferedReader)>/io.bootique.log.BootLogger.trace/0	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseColumns(java.io.BufferedReader)>	64	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseColumns(java.io.BufferedReader)>/$stack7
<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>/io.bootique.log.BootLogger.trace/0	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>	88	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>/$stack19
<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>/io.bootique.log.BootLogger.trace/1	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>	98	<io.bootique.terminal.SttyTerminal: java.lang.Integer parseLine(java.lang.String,java.util.regex.Pattern[])>/$stack9
<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/io.bootique.cli.Cli.commandName/0	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>	55	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/$stack2
<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/io.bootique.cli.Cli.commandName/1	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>	56	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/$stack14
<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/io.bootique.cli.Cli.commandName/2	<io.bootique.cli.Cli: java.lang.String commandName()>	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>	58	<io.bootique.run.DefaultRunner: io.bootique.command.Command bareCommand()>/$stack20
<org.mockito.internal.util.DefaultMockingDetails: void assertGoodMock()>/java.lang.Object.getClass/0	<java.lang.Object: java.lang.Class getClass()>	<org.mockito.internal.util.DefaultMockingDetails: void assertGoodMock()>	88	<org.mockito.internal.util.DefaultMockingDetails: void assertGoodMock()>/$stack6
<io.bootique.config.jackson.parser.JsonConfigurationFormatParser: void <init>(io.bootique.jackson.JacksonService)>/io.bootique.jackson.JacksonService.newObjectMapper/0	<io.bootique.jackson.JacksonService: com.fasterxml.jackson.databind.ObjectMapper newObjectMapper()>	<io.bootique.config.jackson.parser.JsonConfigurationFormatParser: void <init>(io.bootique.jackson.JacksonService)>	40	<io.bootique.config.jackson.parser.JsonConfigurationFormatParser: void <init>(io.bootique.jackson.JacksonService)>/jackson#_0
<org.mockito.internal.MockitoCore: java.lang.Object verify(java.lang.Object,org.mockito.verification.VerificationMode)>/java.lang.Object.getClass/0	<java.lang.Object: java.lang.Class getClass()>	<org.mockito.internal.MockitoCore: java.lang.Object verify(java.lang.Object,org.mockito.verification.VerificationMode)>	124	<org.mockito.internal.MockitoCore: java.lang.Object verify(java.lang.Object,org.mockito.verification.VerificationMode)>/mock#_0
<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>/io.bootique.command.Command.getMetadata/0	<io.bootique.command.Command: io.bootique.meta.application.CommandMetadata getMetadata()>	<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>	56	<io.bootique.run.DefaultRunnerTest: io.bootique.command.Command mockCommand(java.lang.String,io.bootique.command.CommandOutcome,java.lang.String[])>/mock#_54
