Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testAncestor()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testAncestorAfterQueryingParents()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testInsertBetweenTwoSelects()V	827	4
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testSelectWithStringSQLInjection()V	822	1
org.apache.ibatis.submitted.complex_type.ComplexTypeTest::setUp()V	1926	4
org.apache.ibatis.submitted.includes.IncludeTest::setUp()V	1926	4
org.apache.ibatis.submitted.includes.IncludeTest::testIncludes()V	819	1
org.apache.ibatis.submitted.includes.IncludeTest::testParametrizedIncludes()V	6	1
org.apache.ibatis.submitted.cacheorder.CacheOrderTest::setUp()V	1926	4
org.apache.ibatis.submitted.null_associations.FooMapperTest::setUp()V	4	0
org.apache.ibatis.submitted.null_associations.FooMapperTest::testNullAssociation()V	827	0
org.apache.ibatis.submitted.null_associations.FooMapperTest::testNotNullAssociation()V	832	0
org.apache.ibatis.submitted.multidb.MultiDbTest::setUp()V	1926	4
org.apache.ibatis.submitted.association_nested.FolderMapperTest::testFindWithChildren()V	2031	16
org.apache.ibatis.submitted.rounding.RoundingHandlersTest::setUp()V	1926	4
org.apache.ibatis.submitted.serializecircular.SerializeCircularTest::testSerializeWithPreloadingAttribute(Lorg/apache/ibatis/session/SqlSession;)V	1107	0
org.apache.ibatis.submitted.serializecircular.SerializeCircularTest::testSerializeWithoutPreloadingAttribute(Lorg/apache/ibatis/session/SqlSession;)V	1107	0
org.apache.ibatis.submitted.serializecircular.SerializeCircularTest::testSerialize(Lorg/apache/ibatis/session/SqlSession;Z)V	1106	0
org.apache.ibatis.submitted.nestedresulthandler_gh1551.NestedResultHandlerGh1551Test::setUp()V	1926	4
org.apache.ibatis.submitted.encoding.EncodingTest::setUp()V	1939	4
org.apache.ibatis.submitted.encoding.EncodingTest::testEncoding1()V	820	0
org.apache.ibatis.submitted.encoding.EncodingTest::testEncoding2()V	820	0
org.apache.ibatis.submitted.constructor_automapping.ConstructorAutomappingTest::setUp()V	1926	4
org.apache.ibatis.submitted.enumtypehandler_on_annotation.EnumTypeHandlerUsingAnnotationTest::testForArg()V	787	0
org.apache.ibatis.submitted.enumtypehandler_on_annotation.EnumTypeHandlerUsingAnnotationTest::testForResult()V	787	0
