Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldBeAbleToConvertWithENUS()V	115	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldUseTheDefaultLocale()V	124	3
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldBeAbleToConvertEmpty()V	97	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldBeAbleToConvertNull()V	97	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldThrowExceptionWhenUnableToParse()V	117	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldBeAbleToConvertWithPTBR()V	752	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldBeAbleToConvertWithENUS()V	752	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldUseTheDefaultLocale()V	128	3
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldBeAbleToConvertEmpty()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldBeAbleToConvertNull()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveFloatConverterTest::shouldThrowExceptionWhenUnableToParse()V	118	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldBeAbleToConvertWithPTBR()V	752	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldBeAbleToConvertWithENUS()V	752	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldUseTheDefaultLocale()V	128	3
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldBeAbleToConvertEmpty()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldBeAbleToConvertNull()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedPrimitiveDoubleConverterTest::shouldThrowExceptionWhenUnableToParse()V	118	0
br.com.caelum.vraptor.converter.ShortConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.ShortConverterTest::shouldBeAbleToConvertNumbers()V	57	0
br.com.caelum.vraptor.converter.ShortConverterTest::shouldComplainAboutInvalidNumber()V	58	0
br.com.caelum.vraptor.converter.ShortConverterTest::shouldComplainAboutNull()V	57	0
br.com.caelum.vraptor.converter.ShortConverterTest::shouldComplainAboutEmpty()V	57	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldBeAbleToConvertNumbers()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertToZeroWhenNull()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertToZeroWhenEmpty()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertYesNo()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertYN()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertOnOff()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldConvertIgnoringCase()V	163	0
br.com.caelum.vraptor.converter.PrimitiveBooleanConverterTest::shouldThrowExceptionForInvalidString()V	167	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::shouldBeAbleToConvertIntegerNumbers()V	46	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::shouldComplainAboutNonIntegerNumbers()V	47	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::shouldComplainAboutInvalidNumber()V	47	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::shouldNotComplainAboutNull()V	46	0
br.com.caelum.vraptor.converter.BigIntegerConverterTest::shouldNotComplainAboutEmpty()V	46	0
br.com.caelum.vraptor.converter.BigDecimalConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.BigDecimalConverterTest::shouldBeAbleToConvertIntegerNumbers()V	46	0
br.com.caelum.vraptor.converter.BigDecimalConverterTest::shouldComplainAboutInvalidNumber()V	47	0
br.com.caelum.vraptor.converter.BigDecimalConverterTest::shouldNotComplainAboutNull()V	46	0
br.com.caelum.vraptor.converter.BigDecimalConverterTest::shouldNotComplainAboutEmpty()V	46	0
br.com.caelum.vraptor.converter.BooleanConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldBeAbleToConvertTrueAndFalse()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldConvertEmptyToNull()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldNotComplainAboutNull()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldConvertYesNo()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldConvertYN()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldConvertOnOff()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldConvertIgnoringCase()V	162	0
br.com.caelum.vraptor.converter.BooleanConverterTest::shouldThrowExceptionForInvalidString()V	166	0
br.com.caelum.vraptor.converter.PrimitiveIntConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.PrimitiveIntConverterTest::shouldBeAbleToConvertNumbers()V	55	0
br.com.caelum.vraptor.converter.PrimitiveIntConverterTest::shouldComplainAboutInvalidNumber()V	56	0
br.com.caelum.vraptor.converter.PrimitiveIntConverterTest::shouldConvertToZeroWhenNull()V	55	0
br.com.caelum.vraptor.converter.PrimitiveIntConverterTest::shouldConvertToZeroWhenEmpty()V	55	0
br.com.caelum.vraptor.converter.PrimitiveCharConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.PrimitiveCharConverterTest::shouldBeAbleToConvertNumbers()V	48	0
br.com.caelum.vraptor.converter.PrimitiveCharConverterTest::shouldComplainAboutInvalidNumber()V	49	0
br.com.caelum.vraptor.converter.PrimitiveCharConverterTest::shouldConvertToZeroWhenNull()V	48	0
