Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx4()V	25	0
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx5()V	26	0
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx6()V	26	2
org.apache.commons.collections4.PredicateUtilsTest::testEitherPredicate()V	47	4
org.apache.commons.collections4.PredicateUtilsTest::testEitherPredicateEx()V	24	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicate()V	61	24
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx1()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx2()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx3()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx4()V	24	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx5()V	24	0
org.apache.commons.collections4.PredicateUtilsTest::testOnePredicateEx6()V	25	2
org.apache.commons.collections4.PredicateUtilsTest::testNeitherPredicate()V	47	4
org.apache.commons.collections4.PredicateUtilsTest::testNeitherPredicateEx()V	24	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicate()V	61	22
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx1()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx2()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx3()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx4()V	25	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx5()V	26	0
org.apache.commons.collections4.PredicateUtilsTest::testNonePredicateEx6()V	26	2
org.apache.commons.collections4.PredicateUtilsTest::testInstanceOfPredicate()V	40	4
org.apache.commons.collections4.PredicateUtilsTest::testUniquePredicate()V	37	6
org.apache.commons.collections4.PredicateUtilsTest::testAsPredicateTransformer()V	39	2
org.apache.commons.collections4.PredicateUtilsTest::testAsPredicateTransformerEx1()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testAsPredicateTransformerEx2()V	6	1
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicate()V	40	2
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicateEx1()V	5	0
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicateEx2()V	6	1
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicateEx3()V	6	1
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicate2()V	40	2
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicate2Ex1()V	5	0
org.apache.commons.collections4.PredicateUtilsTest::testInvokerPredicate2Ex2()V	6	1
